,0,1
Minted,2020-05-06,"4,418,182"
Money Bookers,2009-01-01,"4,483,605"
KiwiFarms,2019-09-10,"4,606"
Snapchat,2014-01-01,"4,609,615"
Vakinha,2020-06-22,"4,775,203"
Bitcoin Security Forum Gmail Dump,2014-01-09,"4,789,599"
VTech,2015-11-13,"4,833,678"
Descomplica,2021-03-14,"4,845,378"
Dangdang,2011-06-01,"4,848,734"
QuinStreet,2015-12-14,"4,907,802"
Пара Па,2016-08-08,"4,946,850"
Flashback,2015-02-11,"40,256"
Fling,2011-03-10,"40,767,652"
ShareThis,2018-07-09,"40,960,499"
PayAsUGym,2016-12-15,"400,260"
EpicNPC,2016-01-02,"408,795"
piZap,2017-12-07,"41,817,893"
Kayo.moe Credential Stuffing List,2018-09-11,"41,826,763"
Ordine Avvocati di Roma,2019-05-07,"41,960"
HTH Studios,2018-08-24,"411,755"
iD Tech,2023-01-03,"415,121"
Royal Enfield,2019-01-01,"420,873"
Avast,2014-05-26,"422,959"
Underworld Empire,2017-04-25,"428,779"
Edmodo,2017-05-11,"43,423,561"
Trik Spam Botnet,2018-06-12,"43,432,346"
Nulled.ch,2020-05-20,"43,491"
Xbox-Scene,2015-02-01,"432,552"
Acne.org,2014-11-25,"432,943"
Evermotion,2015-05-07,"435,510"
Mecho Download,2013-10-31,"437,928"
SpyFone,2018-08-16,"44,109"
Data & Leads,2018-11-14,"44,320,330"
RedLine Stealer,2021-12-05,"441,657"
Team SoloMid,2014-12-22,"442,166"
Chowbus,2020-10-05,"444,224"
BtoBet,2019-12-26,"444,241"
ProctorU,2020-06-26,"444,453"
CheapAssGamer.com,2015-07-01,"444,767"
PS3Hax,2015-07-01,"447,410"
Lounge Board,2013-08-01,"45,018"
Lanwar,2018-07-28,"45,120"
HoundDawgs,2017-12-30,"45,701"
OVH,2015-05-01,"452,899"
Yahoo,2012-07-11,"453,427"
Anti Public Combo List,2016-12-16,"457,962,538"
WIIU ISO,2015-09-25,"458,155"
DailyObjects,2018-01-01,"464,260"
Liker,2021-03-08,"465,141"
Hemmakväll,2015-07-08,"47,297"
Bulgarian National Revenue Agency,2019-07-15,"471,167"
Travelio,2021-11-23,"471,376"
Coinmama,2017-08-03,"478,824"
Straffic,2020-02-14,"48,580,249"
Quantum Booter,2014-03-18,"48,592"
Houzz,2018-05-23,"48,881,308"
Creative,2018-05-01,"483,015"
Netlog,2012-11-01,"49,038,354"
iMesh,2013-09-22,"49,467,477"
Protemps,2021-10-04,"49,591"
Appartoo,2017-03-25,"49,681"
PPCGeeks,2016-08-19,"492,518"
Tamodo,2020-02-28,"494,945"
Bookchor,2021-01-28,"498,297"
Netshoes,2017-12-07,"499,836"
Robinhood,2021-11-03,"5,003,937"
Zhenai.com,2011-12-21,"5,024,908"
Yatra,2013-09-01,"5,033,997"
Leet,2016-09-10,"5,081,689"
Kickstarter,2014-02-16,"5,176,463"
Stronghold Kingdoms,2018-07-04,"5,187,305"
Phone House España,2021-04-08,"5,223,350"
Gemini,2022-12-13,"5,274,214"
Aditya Birla Fashion and Retail,2021-12-01,"5,470,063"
Astropid,2013-12-19,"5,788"
Elasticsearch Instance of Sales Leads on AWS,2018-10-29,"5,788,169"
Scentbird,2020-06-22,"5,814,988"
Appen,2020-06-22,"5,888,405"
RedDoorz,2020-09-04,"5,890,277"
Nexus Mods,2013-07-22,"5,915,013"
xat,2015-11-04,"5,968,783"
Playbook,2020-10-19,"50,538"
Bitcoin Talk,2015-05-22,"501,407"
Powerbot,2014-09-01,"503,501"
Kimsufi,2015-05-01,"504,565"
Short Édition,2021-06-26,"505,466"
Facebook,2019-08-01,"509,458,528"
Not Acxiom,2020-06-21,"51,730,831"
Open CS:GO,2017-11-28,"512,311"
vBulletin,2015-11-03,"518,966"
Wendy's,2018-03-31,"52,485"
Zoosk (2011),2011-01-01,"52,578,183"
Demon Forums,2019-02-20,"52,623"
Unreal Engine,2016-08-11,"530,147"
Battlefield Heroes,2011-06-26,"530,270"
La Poste Mobile,2022-07-04,"533,886"
Famm,2020-10-08,"535,240"
Florida Virtual School,2018-02-12,"542,902"
University of California,2020-12-24,"547,422"
Spirol,2014-02-22,"55,622"
Vodafone,2013-11-30,"56,021"
XKCD,2019-07-01,"561,991"
Universarium,2019-11-01,"564,962"
GunAuction.com,2022-12-03,"565,470"
BTC-E,2014-10-01,"568,340"
D3Scene,2016-01-01,"568,827"
Bombuj.eu,2018-12-07,"575,437"
Modern Business Solutions,2016-10-08,"58,843,488"
Foodora,2016-04-22,"582,578"
Indian Railways,2019-10-28,"583,377"
CloudPets,2017-01-01,"583,503"
Paddy Power,2010-10-25,"590,954"
Exploit.In,2016-10-13,"593,427,119"
Nulled.cr,2016-05-06,"599,080"
TrueFire,2020-02-21,"599,667"
Coachella,2017-02-22,"599,802"
ToonDoo,2019-08-21,"6,002,694"
TAP Air Portugal,2022-08-25,"6,083,479"
SubaGames,2016-11-01,"6,137,666"
EatStreet,2019-05-03,"6,353,564"
126,2012-01-01,"6,414,191"
Dueling Network,2017-03-29,"6,486,626"
Aipai.com,2016-09-27,"6,496,778"
Twitter,2022-01-01,"6,682,453"
Wakanim,2022-08-28,"6,706,951"
Open Subtitles,2021-08-01,"6,783,158"
StockX,2019-07-26,"6,840,339"
CashCrate,2016-11-17,"6,844,490"
Mortal Online,2018-06-17,"606,637"
HLTV,2016-06-19,"611,070"
ThisHabbo Forum,2014-01-01,"612,414"
Reincubate,2017-05-11,"616,146"
Comcast,2015-11-08,"616,882"
Planet Calypso,2019-07-01,"62,261"
Final Fantasy Shrine,2015-09-18,"620,677"
Data Enrichment Exposure From PDL Customer,2019-10-16,"622,161,052"
Devil-Torrents.pl,2021-01-04,"63,451"
Travel Oklahoma,2020-12-17,"637,279"
DaFont,2017-05-16,"637,340"
Filmai.in,2020-01-01,"645,786"
Domino's,2014-06-13,"648,231"
tumblr,2013-02-28,"65,469,298"
Tout,2014-09-11,"652,683"
Estonian Citizens (via Estonian Cybercrime Bureau),2018-06-07,"655,161"
Pokébip,2015-07-28,"657,001"
You've Been Scraped,2018-10-05,"66,147,869"
AerServ,2018-04-01,"66,308"
Fantasy Football Hub,2021-10-02,"66,479"
Gab,2021-02-26,"66,521"
CrackingForum,2016-07-01,"660,305"
GPS Underground,2016-07-01,"669,584"
dvd-shop.ch,2017-12-05,"67,973"
Dropbox,2012-07-01,"68,648,009"
Lead Hunter,2020-03-04,"68,693,853"
Vedantu,2019-07-08,"686,899"
mSpy,2015-05-14,"699,793"
ReverbNation,2014-01-01,"7,040,725"
Xiaomi,2012-08-01,"7,088,010"
Lifeboat,2016-01-01,"7,089,395"
Animal Jam,2020-10-12,"7,104,998"
Experian (2015),2015-09-16,"7,196,890"
TaiLieu,2019-11-24,"7,327,477"
RankWatch,2016-11-19,"7,445,067"
START,2021-06-01,"7,455,386"
DatPiff,2021-08-25,"7,476,940"
17173,2011-12-28,"7,485,802"
uuu9,2016-09-06,"7,485,802"
BlankMediaGames,2018-12-28,"7,633,234"
Digimon,2016-09-05,"7,687,679"
Civil Online,2011-07-10,"7,830,195"
Programming Forums,2015-12-01,"707,432"
PoliceOne,2014-07-01,"709,926"
Minecraft World Map,2016-01-15,"71,081"
Retina-X,2017-02-23,"71,153"
NVIDIA,2022-02-23,"71,335"
Zooville,2019-09-27,"71,407"
Tokopedia,2020-04-17,"71,443,698"
Onliner Spambot,2017-08-28,"711,477,622"
Republican Party of Texas,2021-09-11,"72,596"
ServerPact,2016-01-01,"73,587"
ShockGore,2020-08-11,"73,944"
MALL.cz,2017-07-27,"735,405"
WildStar,2015-07-11,"738,556"
Android Forums,2011-10-30,"745,355"
ZAP-Hosting,2021-11-22,"746,682"
Cracked.to,2019-07-21,"749,161"
Non Nude Girls,2013-05-21,"75,383"
