,0,1
Mastercard Priceless Specials,2019-08-20,"89,388"
Mate1.com,2016-02-29,"27,393,015"
Mathway,2020-01-13,"25,692,862"
Mecho Download,2013-10-31,"437,928"
MeetMindful,2020-01-26,"1,422,717"
MindJolt,2019-03-18,"28,364,826"
Minecraft Pocket Edition Forum,2015-05-24,"16,034"
Minecraft World Map,2016-01-15,"71,081"
Minefield,2015-06-28,"188,343"
Minehut,2019-05-17,"396,533"
Minted,2020-05-06,"4,418,182"
MoDaCo,2016-01-01,"879,703"
MobiFriends,2020-01-06,"3,512,952"
Modern Business Solutions,2016-10-08,"58,843,488"
Money Bookers,2009-01-01,"4,483,605"
Moneycontrol,2017-09-07,"762,874"
Morele.net,2018-10-10,"2,467,304"
Mortal Online,2018-06-17,"606,637"
MrExcel,2016-12-05,"366,140"
Muslim Directory,2014-02-17,"37,784"
Muslim Match,2016-06-24,"149,830"
MyFHA,2015-02-18,"972,629"
MyFitnessPal,2018-02-01,"143,606,147"
MyHeritage,2017-10-26,"91,991,358"
MySpace,2008-07-01,"359,420,698"
MyVidster,2015-08-15,"19,863"
NVIDIA,2022-02-23,"71,335"
Nameless Malware,2020-01-01,"1,121,484"
NapsGear,2015-10-21,"287,071"
Naughty America,2016-03-14,"1,398,630"
NemoWeb,2016-09-04,"3,472,916"
Neopets,2013-05-05,"26,892,897"
NetEase,2015-10-19,"234,842,089"
NetGalley,2020-12-21,"1,436,435"
NetProspex,2016-09-01,"33,698,126"
Neteller,2010-05-17,"3,619,948"
Netlog,2012-11-01,"49,038,354"
Netshoes,2017-12-07,"499,836"
NextGenUpdate,2014-04-22,"1,194,597"
Nexus Mods,2013-07-22,"5,915,013"
Nihonomaru,2015-12-01,"1,697,282"
Nitro,2020-09-28,"77,159,696"
Nival,2016-02-29,"1,535,473"
Non Nude Girls,2013-05-21,"75,383"
Not Acxiom,2020-06-21,"51,730,831"
Nulled.ch,2020-05-20,"43,491"
Nulled.cr,2016-05-06,"599,080"
NurseryCam,2021-02-12,"10,585"
OGUsers (2019 breach),2018-12-26,"161,143"
OGUsers (2020 breach),2020-04-02,"263,189"
OGUsers (2021 breach),2021-04-11,"348,302"
OVH,2015-05-01,"452,899"
Onliner Spambot,2017-08-28,"711,477,622"
Onverse,2016-01-01,"800,157"
Open CS:GO,2017-11-28,"512,311"
Open Subtitles,2021-08-01,"6,783,158"
OrderSnapp,2020-06-29,"1,304,447"
Ordine Avvocati di Roma,2019-05-07,"41,960"
OwnedCore,2013-08-01,"880,331"
Oxfam,2021-01-20,"1,834,006"
PHP Freaks,2015-10-27,"173,891"
PPCGeeks,2016-08-19,"492,518"
PS3Hax,2015-07-01,"447,410"
PSP ISO,2015-09-25,"1,274,070"
PSX-Scene,2015-02-01,"341,118"
Paddy Power,2010-10-25,"590,954"
Paragon Cheats,2021-05-22,"188,089"
ParkMobile,2021-03-21,"20,949,825"
Patreon,2015-10-01,"2,330,382"
PayAsUGym,2016-12-15,"400,260"
PayHere,2022-03-27,"1,580,249"
Paytm,2020-08-30,"3,395,101"
Peatix,2019-01-20,"4,227,907"
Pemiblanc,2018-04-02,"110,964,206"
People's Energy,2020-12-16,"358,822"
PetFlow,2017-12-09,"990,919"
Phone House España,2021-04-08,"5,223,350"
Pixel Federation,2013-12-04,"38,108"
Pixlr,2020-10-07,"1,906,808"
Planet Calypso,2019-07-01,"62,261"
Planet Ice,2023-01-14,"240,488"
Playbook,2020-10-19,"50,538"
Plex,2015-07-02,"327,314"
Pluto TV,2018-10-12,"3,225,080"
Pokébip,2015-07-28,"657,001"
Pokémon Creed,2014-08-08,"116,465"
Pokémon Negro,2016-10-01,"830,155"
PoliceOne,2014-07-01,"709,926"
Poshmark,2018-05-16,"36,395,491"
Powerbot,2014-09-01,"503,501"
Preen.Me,2020-05-25,"236,105"
